# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
2005eu 0.03516 35.99892 0.141612
ASASSN-15tg 0.03529 35.95730 0.117119
2007hu 0.03551 36.00256 0.266421
PTSS-16efw 0.03568 36.38234 0.116124
ASASSN-15ss 0.03599 36.14277 0.107964
PS15bbn 0.03624 36.32659 0.127198
ASASSN-15lu 0.03635 36.14299 0.129941
2008hj 0.03682 36.11617 0.112342
2006mo 0.03702 36.05893 0.158995
2002hu 0.03705 36.05504 0.111939
2001eh 0.03725 36.01068 0.125382
ASASSN-16db 0.03730 36.00728 0.134348
AT2016hns 0.03740 36.13761 0.122011
ASASSN-15bc 0.03753 36.16609 0.199857
2007jg 0.03756 36.30183 0.168451
AT2016cvw 0.03787 36.25411 0.119197
2008gb 0.03796 36.20641 0.148730
2007O 0.03818 36.04309 0.113275
2008fr 0.03828 36.24514 0.135997
2009bv 0.03848 36.31572 0.118055
2008051 0.03873 36.12057 0.123318
ASASSN-15np 0.03884 36.17443 0.144176
2010dw 0.03902 36.15798 0.168084
ASASSN-15pn 0.03909 36.37011 0.135303
PS15cze 0.04035 36.43433 0.167184
2003fa 0.04056 36.16885 0.122586
SN2016glz 0.04077 36.15319 0.153713
PS16axi 0.04089 36.24039 0.110425
SN2017coa 0.04095 36.48436 0.175770
2009do 0.04099 36.20463 0.111727
2001az 0.04101 36.41367 0.105783
2006cf 0.04268 36.40134 0.120980
2007kk 0.04285 36.24371 0.162925
AT2016htm 0.04289 36.45301 0.103782
ASASSN-16ct 0.04306 36.27389 0.197563
2007nq 0.04349 36.36083 0.127106
SN2016ayg 0.04349 36.57204 0.105701
MASTERJ0134 0.04369 36.40534 0.112921
AT2016cvv 0.04438 36.55894 0.145580
2005ku 0.04439 36.42577 0.184740
PSNJ1204051 0.04545 36.57682 0.170821
2005hc 0.04575 36.69777 0.100799
SN2016esh 0.04583 36.44319 0.124167
PS17tn 0.04590 36.48276 0.127230
2008050 0.04625 36.31584 0.198771
AT2016ews 0.04631 36.71175 0.092728
2005lz 0.04643 36.44687 0.134384
2004gu 0.04664 36.54971 0.144268
2008cf 0.04682 36.57974 0.107660
AT2017yk 0.04691 36.75031 0.185480
2016afk 0.04738 36.64349 0.178616
PS16fa 0.04760 36.71459 0.121747
PS15aii 0.04777 36.71031 0.097740
PS17akj 0.04777 36.59991 0.121319
ATLAS16agv 0.04819 36.59722 0.127084
ASASSN-15pm 0.04837 36.70692 0.089559
AT2016gmg 0.04865 36.85198 0.116802
PS16el 0.04940 36.70592 0.105533
2006cq 0.04944 36.83597 0.124599
PS15asb 0.04989 36.69189 0.116077
PS16dnp 0.05023 36.97734 0.102125
2007kh 0.05032 36.64724 0.298559
ASASSN-17eb 0.05044 36.61242 0.131617
PS15brr 0.05049 36.62315 0.106464
AT2016cor 0.05066 36.87577 0.235348
PS16fbb 0.05106 36.86014 0.109094
2003ic 0.05126 36.49961 0.149169
ASASSN-16hc 0.05151 36.79875 0.090820
AT2016htn 0.05222 36.98666 0.135478
PS16evk 0.05262 37.02932 0.118463
PS16n 0.05309 36.98166 0.097667
2010dt 0.05316 36.98605 0.112029
2006lu 0.05346 36.98406 0.095977
PS16bby 0.05468 36.90225 0.107226
PS16ayd 0.05469 37.04340 0.080810
